Time_s,Position_deg,Velocity_degs,Target_deg,Direction,Trigger
3.8160785,751.85,-1123.507,0,1,0
3.8735383,701.62,-1683.969,0,1,0
3.8748181,659.32,-2536.721,0,1,0
3.8755017,635.853,-1523.33,0,1,0
3.8801308,583.789,-1651.955,0,1,0
3.8945786,583.903,-1091.089,0,1,0
3.9095232,578.296,-1385.058,0,1,0
3.9757435,542.104,-1392.975,0,1,0
3.9777299,501.319,-1744.522,0,1,0
3.9788678,499.787,-993.679,0,1,0
3.980091,500.514,-862.461,0,1,0
3.9815397,455.778,-1600.727,0,1,0
3.987486,450.053,-915.998,0,1,0
4.0024238,450.247,-794.697,0,1,0
4.0183688,410.581,-1215.006,0,1,0
4.0763334,382.587,-1673.534,0,1,0
4.077765,370.255,-1180.133,0,1,0
4.0785615,358.778,-941.431,0,1,0
4.0807627,339.45,-1153.146,0,1,0
4.0819906,334.179,-897.775,0,1,0
4.095665,328.095,-799.202,0,1,0
4.110973,317.367,-766.781,0,1,0
4.1262371,309.851,-835.822,0,1,0
4.1884682,304.666,-647.514,0,1,0
4.1904947,291.548,-771.844,0,1,0
4.191354,277.327,-870.559,0,1,0
4.1921679,272.533,-615.149,0,1,0
4.2039328,265.252,-643.451,0,1,0
4.2195942,252.12,-760.22,0,1,0
4.2207747,233.97,-1240.222,0,1,0
4.2348354,215.019,-740.93,0,1,0
4.2932254,184.827,-1015.334,0,1,0
4.2953272,177.923,-786.787,0,1,0
4.2964654,175.039,-568.936,0,1,0
4.2976937,170.767,-559.582,0,1,0
4.3122977,127.466,-1849.854,0,1,0
4.3277983,113.832,-874.866,0,1,0
4.4030156,93.557,-871.404,0,1,0
4.4044824,70.559,-1141.862,0,1,0
4.4064409,45.976,-1717.372,0,1,0
4.4080094,18.681,-1085.647,0,1,0
4.4097678,-17.777,-1388.196,0,1,0
4.4108409,-56.084,-2273.488,0,1,0
4.4221966,-76.52,-1211.967,0,1,0
4.4373866,-116.138,-1528.608,0,1,0
4.4527077,-160.548,-2268.094,0,1,0
4.5096736,-168.504,-1070.512,0,1,0
4.5119993,-170.129,-1036.348,0,1,0
4.5134099,-171.474,-818.28,0,1,0
4.5148322,-170.975,-704.043,0,1,0
4.5158138,-170.569,-612.574,0,1,0
4.5292795,-170.218,-532.74,0,1,0
4.5453142,-169.912,-463.306,0,1,0
4.560484,-169.646,-402.923,0,1,0
4.6183085,-169.415,-350.409,0,1,0
4.6199376,-169.213,-304.74,0,1,0
4.6215196,-169.038,-265.023,0,1,0
4.6238028,-168.886,-230.482,0,1,0
4.6368248,-168.754,-200.442,0,1,0
4.652146,-168.639,-174.319,0,1,0
4.6532341,-168.539,-151.6,0,1,0
4.6683032,-168.452,-131.842,0,1,0
4.7256587,-168.376,-114.659,0,1,0
4.7277736,-168.31,-99.716,0,1,0
4.7288732,-168.253,-86.719,0,1,0
4.7309893,-168.203,-75.417,0,1,0
4.7459858,-168.16,-65.588,0,1,0
4.7622624,-168.122,-57.04,0,1,0
4.8238086,-168.09,-49.606,0,1,0
4.8259775,-168.061,-43.142,0,1,0
4.826687,-168.036,-37.52,0,1,0
4.8273739,-168.015,-32.629,0,1,0
4.82828,-167.996,-28.376,0,1,0
4.8395798,-167.98,-24.678,0,1,0
4.8546112,-167.966,-21.461,0,1,0
4.8707164,-167.953,-18.664,0,1,0
